Aeg,Kasutaja päring,Filtrid,Leitud ID-d,Leitud ained,LLM Vastus,Hinnang,Veatüüp
2026-03-01 16:37:48,tahan sporti teha,"semester: kevad; asukoht: Tartu; hindamine: Eristamata (arv, m.arv, mi); õppeaste: bakalaureuseõpe; õppekeel: eesti keel","['KKSP.00.027', 'KKSB.01.034', 'KKSP.03.054', 'KKSB.05.088', 'MVSF.00.007']","['Spordi terviseks II', 'Tervislik liikumisharrastus', 'Spordifilosoofia', 'Liikumisretsept', 'Praktiline orienteerumine']","
Kui soovid sporti teha, siis **Spordi terviseks II** ja **Tervislik liikumisharrastus** on suurepärased valikud! Mõlemad on praktilised ja paindlikud, võimaldades valida endale sobivaid liikumisvorme. ""Tervislik liikumisharrastus"" on veebipõhine, mis sobib hästi iseseisvaks treenimiseks, samal ajal kui ""Spordi terviseks II"" pakub võimalust osaleda erinevates treeningutes ja kujundada kestlikke harjumusi.",👍 Hea,
2026-03-01 16:39:37,samuti soovin ainet kus saan õppida eesti keelt,pole oluline,"['HVLC.09.001', 'HVLC.09.065', 'HVLC.09.060', 'P2NC.00.949', 'HVLC.09.004']","['Eesti keel arstiteaduse tudengitele I, tase 0 - A1.2', 'Eesti keele algkursus II (100% veebipõhine), inglise keele baasil, A1.1 - A1.2', 'Eesti keele algkursus I, inglise keele baasil, tase 0 - A1.1 (veebiõpe)', 'Eesti keele jätkukursus II', 'Eesti keel arstiteaduse tudengitele IV, tase B1.1 - B1.2']","

Eesti keele õppimiseks on mitmeid valikuid! Kui oled algaja, siis **Eesti keele algkursus I** (veebiõpe) ja **Eesti keele algkursus II** (100% veebipõhine) on head valikud, et omandada põhiteadmised. Kui sul on juba mingil tasemel keeleoskus, siis **Eesti keele jätkukursus II** aitab oskusi edasi arendada. Meditsiinitudengitele on sobivad **Eesti keel arstiteaduse tudengitele I** ja **IV**, mis keskenduvad erialasele sõnavarale.",👍 Hea,
2026-03-01 16:40:37,"soovin kursust kus saan tegeleda andmeteadusega, aga ma ei armasta matemaatikat",pole oluline,"['SVNC.00.228', 'LTAT.02.002', 'SVMJ.04.015', 'LTAT.02.006', 'LTTO.00.028']","['Sissejuhatus andmeteadusse', 'Sissejuhatus andmeteadusesse', 'Sissejuhatus andmeteadusse ja ärianalüütikasse', 'Andmeteaduse meetodid', 'Andmeteadus astronoomias']","

Sel juhul on sinule sobivaim **Sissejuhatus andmeteadusse** (SVNC.00.228). See kursus keskendub peamiselt andmete kogumise ja töötlemise teekondadele, mudelite tutvustamisele ja väikeprojektide elluviimisele, ilma sügava matemaatilise teooriata. See võimaldab sul tutvuda valdkonnaga ja saada praktilisi oskusi, keskendudes pigem programmeerimisele ja visualiseerimisele.",👍 Hea,
2026-03-01 16:41:25,soovin ainet kus saan laulda,pole oluline,"['P2VK.02.728', 'MV00.00.018', 'MV00.00.017', 'HVVK.00.122', 'P2VK.02.524']","['Improvisatsioon', 'Biomeedikumi segakoor II', 'Biomeedikumi segakoor I', 'SoundCamp 2025', 'Lisapill']","Laulmise võimaluseks on sinule **Biomeedikumi segakoor I** ja **Biomeedikumi segakoor II**. Mõlemad on 3 EAP suurused ja pakuvad võimalust osaleda kontsertkavade ettevalmistamisel, laulupidudel ja arendada vokaalset oskust. Need kursused sobivad hästi nii algajatele kui ka kogenenud lauljatele.",👍 Hea,
2026-03-01 16:43:04,"soovin ainet, kus saan õppida informaatikat, aga ma ei ole ise informaatik, ehk siis tehnilised ained mis ei nõua tehnilist tausta",pole oluline,"['LTAT.03.002', 'MTAT.03.312', 'MTAT.03.206', 'MTAT.03.237', 'OIAO.06.062']","['Sissejuhatus erialasse', 'Informaatika koolis', 'Praktika informaatikas', 'Praktika informaatikas', 'Informatsiooni infrastruktuur ja arhitektuur']","

Hea valik on **Digitaalse maailma alused**. See kursus on mõeldud just neile, kel puudub tugev tehniline taust, ja annab ülevaate digitaalsete tehnoloogiate põhimõistetest ja mõjust ühiskonnale. See on väga praktiline ja annab põhiteadmised ilma süvaminekuid nõudmata. Lisaks on ka **Informaatika põhitõed**, mis annab ülevaate arvutite ja programmeerimise põhialustest, ilma eeltingimusteta. Mõlemad on ideaalsed, kui soovid informaatika maailma sukelduda ilma tehniliste eeltingimusteta.",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 17:11:03,soovin kursust kus saan keraamikaga ja kunstiga tegeleda,pole oluline,"['HVVK.00.023', 'LTMS.00.086', 'FLLC.02.014', 'FLAJ.02.104', 'HVAJ.05.017']","['Artisti karjääri arendamine', 'Origami ja matemaatika: voltimise kunst ja teadus', 'Erikursus antiikmaailmast ja antiigitraditsioonist I', 'Sissejuhatus alkeemiasse', 'Kureerimise alused']","Näen, et otsid kursusi, kus saaksid keraamikaga ja kunstiga tegeleda.

""Artisti karjääri arendamine"" aitab sul oma loomeprotsessi ja isiklikku brändi arendada, pakkudes baasteadmisi kunstniku karjääri planeerimiseks. ""Origami ja matemaatika: voltimise kunst ja teadus"" arendab ruumilist mõtlemist ja loovust, pakkudes uut perspektiivi disainile ja kunstile, kuigi see ei keskendu otseselt keraamikale.",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 17:11:52,soovin ainet kus saan õppida oraatorioskusi,pole oluline,"['SVUH.00.212', 'HVLC.05.081_1', 'HVLC.05.081', 'HVLC.01.078', 'SVUH.00.215']","['Retoorika', 'Ukraina keel algajatele II (inglise keele baasil), tase A1.1 > A2.1', 'Ukraina keel algajatele II (inglise keele baasil), tase A1.1 > A2.1', 'Inglise keel kõrgtasemele II, tase C1.1>C1.2', 'Kuulamistreening ja intervjueerimine']","
""Retoorika"" on just see, mida otsid! See kursus keskendub kaasaegsele retoorikale, kõnede analüüsile, kirjutamisele ja esinemistehnikale. Sa õpid selgeks, julgeks ja isikupäraseks eneseväljenduseks, mis on oraatoritöö alus. Sa oskad paremini mõista kommunikatsiooni olemust ja enda tugevusi.",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 17:12:20,mind huvitab kosmos,pole oluline,"['LTTO.00.011', 'LTTO.00.030', 'LTTO.00.019', 'LTTO.00.018', 'LTTO.00.025']","['Sissejuhatus kosmose avastamisse', 'Õpetlik kosmos', 'Universum kõigile', 'Kosmoloogia', 'Globaalfüüsika']","
Kosmosest on palju põnevat!

**""Sissejuhatus kosmose avastamisse""** on hea alguspunkt, kui sa pole veel kosmosest midagi teadnud. Sa saad ülevaate maailmas ja Eestis tehtud kosmoseuuringutest ning õpid tundma tähtsamaid seadmeid.

Kui oled juba natuke kosmosest kuulnud ja tahad sügavamalt teada, siis **""Kosmoloogia""** on magistriõppe tase, mis annab teoreetilise aluspõhja universumi kirjeldamiseks ja räägib tumeainest, tumeenergiast ning universumi algusest.

**""Universum kõigile""** annab sissejuhatava ülevaate tänapäeva astronoomiast, ilma keerulise matemaatikata, keskendudes universumi suurusele, vanusele ja elu võimalikkusele.

Lisaks on **""Globaalfüüsika""** kursusel juttu ka kosmilistest objektidest, tähtedest ja galaktikatest – see seob füüsika ja kosmoselaia pildi.",👍 Hea,
2026-03-01 17:13:47,tahan rohkem kogemust tarkvaraarenduses,pole oluline,"['MTAT.03.293', 'MTAT.03.324', 'SVNC.00.309', 'SVNC.00.058', 'LTAT.05.003']","['Sissejuhatus tarkvaraettevõtlusse', ""Hackathon'idel osalemine"", 'Tarkvara testimine', 'Tarkvara testimine', 'Tarkvaratehnika']","
Super! Tarkvaraarenduses saad palju kogemusi erinevate kursustega. 

**""Tarkvaraarenduse põhitõed""** annab sulle hea aluse programmeerimise ja tarkvaraarenduse põhimõistetest ja -tavade kohta. 

**""Objektorienteeritud programmeerimine""** süvendab programmeerimisoskust ja aitab luua keerukamaid tarkvararakendusi. 

Soovid rohkem praktikat? **""Veebikeskkondade arendamine""** ja **""Mobiilirakenduste arendamine""** võimaldavad luua reaalseid veebi- ja mobiilirakendusi.

Kui oled juba kogenud programmeerija, siis **""Tarkvara arhitektuur""** aitab sinna süsteeme üles ehitada ja hallata, keskendudes disainile ja keeruliste süsteemide ülesehitusele.

**""Andmebaasidega töö""** on oluline, kui soovid oma tarkvarasse andmeid salvestada ja hallata.",👎 Halb,LLM hallutsineeris/vastas valesti
2026-03-01 17:14:44,"mul on vähe teadmisi majandusvaldkonnast, tahaksin mingi baasi saada",pole oluline,"['SVMJ.05.001', 'SVPC.01.074', 'MJJV.07.102', 'SVPC.02.021', 'SVMJ.05.004']","['Majanduse põhialused', 'Ettevõtlusega alustamine', 'Innovatsiooni alused', 'Turismimajanduse alused', 'Otsuste tegemine ja valikkäitumine']","
See on hea mõte! Majandusvaldkonna baasteadmised on kasulikud igapäevaelus ja paljudel erialadel.

**""Majanduse põhialused""** on just see, mida sa otsid. Sa õpid majandusteooria põhitõdesid ja reaalse majanduse toimimist nii mikrotasandil (inimeste ja ettevõtete käitumine) kui ka makrotasandil (SKP ja majanduskasv).

Lisaks on ka **""Rahandusarvestus""**, mis annab ülevaate finantsaruannete koostamisest ja analüüsimisest ning aitab aru saada ettevõtete majanduslikust seisundist. See on hea täiendus ""Majanduse põhialustele"", kui soovid rohkem keskenduda ettevõtete finantsidele.",👎 Halb,Otsing leidis valed ained (RAG viga)
